"Nazwa_ogłoszenia","Cena","Cena_za_metr","Liczba_pokoi","Powierzchnia","Osiedle","Dzielnica","Forma_własności","Stan","Piętro","Balkon_taras_ogródek","Czynsz","Miejsce_parkingowe","Ogrzewanie","Rynek","Typ_ogłoszeniodawcy","Rok_budowy","Rodzaj_zabudowy","Okna","Winda","Zabezpieczenia","Informacje_dodatkowe"
"Penthouse przy Rondzie Daszyńskiego",2750000,22358,5,123,"Mirów","Wola",NA,"do wykończenia","10/10","balkon, taras","2 000 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1997,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Kamienica /3 pokoje po remoncie / 2 balkony /garaż",950000,15273,3,62.2,"Młynów","Wola","pełna własność","do zamieszkania","3/4","balkon","715 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1940,"kamienica",NA,"nie","domofon / wideofon, monitoring / ochrona","cegła"
"do wejścia, wysoki standard, miejsce postojowe",1499000,16656,4,90,"Zerzeń","Wawer",NA,"do zamieszkania","parter/1","taras",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",NA,NA,NA,"nie",NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka"
"Pkp Radość | wys 3m | taras 27mkw | do remontu",779000,8000,3,97.38,"Radość","Wawer","pełna własność","do remontu","1/1","taras",NA,NA,NA,"wtórny","biuro nieruchomości",1934,NA,NA,"nie","domofon / wideofon","cegła"
"Metro Rondo Onz / 3 pokoje / komórka / parking",1030000,21427,3,48.07,"Śródmieście Północne","Śródmieście",NA,"do zamieszkania","4/15",NA,"800 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1972,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","inny"
"3 pokoje w apartamentowcu /komórka /garaż /Arkadia",1680000,25751,3,65.24,"Muranów","Śródmieście","pełna własność","do zamieszkania","6/7","balkon","980 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2013,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","inny"
"4 pokojowy apartament z garażem i komórką",1499000,19218,4,78,"Ksawerów","Mokotów","pełna własność","do wykończenia","1/6","balkon","700 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2020,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","pom. użytkowe"
"dla rodziny, miejsce postojowe, blisko kolejki",990000,9000,3,110,"Anin","Wawer",NA,"do zamieszkania","2/2","ogródek","640 zł","garaż/miejsce parkingowe","gazowe","wtórny","biuro nieruchomości",1939,"kamienica",NA,"nie","domofon / wideofon","cegła"
"*Mieszkanie 2/3 pok. blisko Centrum BEZPOŚREDNIO*",697740,14500,3,48.12,"Nowa Praga","Praga-Północ","pełna własność","do remontu","4/4",NA,"600 zł",NA,"miejskie","wtórny","prywatny",1958,NA,NA,"nie","monitoring / ochrona","telewizja kablowa, internet, telefon"
"Plac Unii Lubelskiej ! !Oferta Ważna Do 07.01.2024",969000,20617,2,47,"Stary Imielin","Ursynów","pełna własność","do remontu","5/5",NA,"650 zł",NA,NA,"wtórny","biuro nieruchomości",1956,"kamienica",NA,"tak","system alarmowy, monitoring / ochrona","cegła"
"Wilcza | kamienica | po remoncie | 43m2",1200000,27849,1,43.09,"Śródmieście Południowe","Śródmieście","pełna własność","do zamieszkania","1/5",NA,"350 zł",NA,"miejskie","wtórny","biuro nieruchomości",1956,"kamienica",NA,"nie","drzwi / okna antywłamaniowe, domofon / wideofon","cegła"
"2 pokoje ★ 38 m2 ★ garaż ★ Ursus ★ listopad 2023",6e+05,15789,2,38,"Szamoty","Ursus",NA,"do wykończenia","4/8","balkon","635 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2023,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","żelbet"
"3 pokoje do remontu Mokotów Stegny Okazja",710000,13371,3,53.1,"Stegny","Mokotów",NA,"do remontu","2/4","balkon","926 zł",NA,"miejskie","wtórny","biuro nieruchomości",1973,"blok",NA,"nie","domofon / wideofon","wielka płyta"
"Sprzedam mieszkanie blisko centrum wysoki standard",879000,15982,2,55,"Pelcowizna","Praga-Północ","pełna własność","do zamieszkania","1/2","balkon, ogródek",NA,"garaż/miejsce parkingowe","gazowe","wtórny","prywatny",2000,"blok",NA,"nie","system alarmowy, teren zamknięty, domofon / wideofon","cegła"
"Mieszkanie, 52,80 m², Warszawa",950000,17992,2,52.8,"Górce","Bemowo","pełna własność","do wykończenia","5/8",NA,"790 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2008,"blok",NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","silikat"
"Kamienica 1929 | Winda | Parkiet | 3 M",1475000,18438,3,80,"Stara Ochota","Ochota",NA,"do zamieszkania","2/5",NA,"970 zł",NA,"miejskie","wtórny","biuro nieruchomości",1929,"kamienica",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"90 M2- Kamienica Na Rynku Starego Miasta - Perełka",3850000,43113,3,89.3,"Stare Miasto","Śródmieście","pełna własność","do remontu","2/4",NA,"1 000 zł",NA,"miejskie","wtórny","biuro nieruchomości",1505,"kamienica",NA,"nie",NA,"cegła"
"Przytulny Apartament Przy Placu Konstytucji",1230000,30696,2,40.07,"Śródmieście Południowe","Śródmieście","pełna własność","do zamieszkania","1/6",NA,"580 zł",NA,"miejskie","wtórny","biuro nieruchomości",1950,"kamienica",NA,"tak","monitoring / ochrona","cegła"
"Przestronne 3 pokoje, piękny widok, dobry stan",730000,11371,3,64.2,"Bródno","Targówek",NA,"do zamieszkania","4/8",NA,NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1994,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","piwnica"
"Apartament, panoramiczne okna, 2 miejsca park.",990000,16880,2,58.65,"Czerniaków","Mokotów","pełna własność","do zamieszkania","2/4","balkon","600 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2011,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","silikat"
"1-pokojowe mieszkanie 32m2 + loggia",1151000,34889,1,32.99,"Mirów","Wola","pełna własność","do wykończenia","> 10/16",NA,NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"Małe Mieszkania Kamienica Sprzedam",239000,14372,1,16.63,"Nowa Praga","Praga-Północ","pełna własność","do remontu","4/4",NA,"15 zł",NA,"miejskie","wtórny","prywatny",1937,"kamienica",NA,"nie",NA,"cegła"
"Świetna lokalizacja SKM i MZA bezczynszowe",920000,7863,5,117,"Międzylesie","Wawer","pełna własność","do wykończenia","1/2","balkon",NA,"garaż/miejsce parkingowe","gazowe","wtórny","biuro nieruchomości",2022,"kamienica",NA,"nie","teren zamknięty, domofon / wideofon","cegła"
"3pok. 2miejsca garażowe. klimatyzacja,BEZPOŚREDNIO",725000,12565,3,57.7,"Grodzisk","Białołęka","pełna własność","do zamieszkania","3/4","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2015,"blok",NA,"tak","system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona","klimatyzacja"
"Bielany, 3 pokoje + kuchnia, 0% prowizji",829000,14544,3,57,"Chomiczówka","Bielany","spółdzielcze wł. prawo do lokalu","do zamieszkania","1/15","balkon","700 zł",NA,"miejskie","wtórny","prywatny",1980,"blok",NA,"tak","domofon / wideofon","wielka płyta"
"Mieszkanie 2pok, 35m2 Bemowo ul. Szwankowskiego",583000,15973,2,36.5,"Jelonki Północne","Bemowo",NA,"do remontu","5/11","balkon","480 zł",NA,"miejskie","wtórny","biuro nieruchomości",1980,"blok",NA,"tak",NA,"piwnica, oddzielna kuchnia"
"Trzypokojowe mieszkanie 77,40m2 na Ursynowie",1350000,17442,3,77.4,"Kabaty","Ursynów","spółdzielcze wł. prawo do lokalu","do zamieszkania","1/4","balkon","1 280 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1999,"blok",NA,"nie","teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Kawalerka 32 m2 Klimatyzacja,Mokotów",595000,18594,1,32,"Ujazdów","Śródmieście","pełna własność",NA,"5/5",NA,"690 zł",NA,NA,"wtórny","biuro nieruchomości",1965,NA,NA,"nie",NA,"piwnica"
"Mieszkanie 37,2 M2, 2 pokoje",630000,16935,2,37.2,"Okęcie","Włochy","pełna własność","do zamieszkania","4/4","balkon","600 zł",NA,"miejskie","wtórny","prywatny",NA,"blok",NA,"nie","domofon / wideofon","wielka płyta"
"Apartament 4-pokojowy przy parku",1405000,16897,4,83.15,"Stare Włochy","Włochy",NA,"do wykończenia","1/4","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","deweloper",2024,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","pom. użytkowe"
"3 pokojowe mieszkanie przy parku",992000,16794,3,59.07,"Stare Włochy","Włochy",NA,"do wykończenia","4/4","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","deweloper",2024,"blok",NA,"nie","domofon / wideofon, monitoring / ochrona","dwupoziomowe, pom. użytkowe"
"3-pokojowe mieszkanie 59m2 + balkon Bezpośrednio",713833,11947,3,59.75,"Żerań","Białołęka","pełna własność","do wykończenia","4/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"OSIEDLE PRZY PARKU _ DWA BALKONY _TRZY SYPIALNIE",1238000,13032,4,95,"Stary Rembertów","Rembertów","pełna własność","do zamieszkania","3/4","balkon","1 000 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2009,"blok",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon","inny"
"Wyjątkowe | Jasne | Metro | Las",891000,16500,3,54,"Koło","Wola","pełna własność","do remontu","1/4","balkon","850 zł",NA,NA,"wtórny","biuro nieruchomości",1950,NA,NA,"nie",NA,"piwnica"
"53,60m2 przy Kłobuckiej w kameralnym osiedlu",875000,16325,2,53.6,"Wyczółki","Ursynów","pełna własność","do zamieszkania","parter/7","balkon","663 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2015,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","keramzyt"
"Po Remoncie/ Do Wejścia/ Dwie Windy/ Balkon",455000,17970,1,25.32,"Nowa Praga","Praga-Północ","pełna własność","do zamieszkania","> 10/12","balkon","300 zł",NA,"miejskie","wtórny","biuro nieruchomości",1962,"blok",NA,"tak","domofon / wideofon","inny"
"gotowiec inwestycyjny | 102m2",1420000,15435,4,92,"Czerniaków","Mokotów","pełna własność","do zamieszkania","10/15","balkon","900 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1970,"blok",NA,"tak","domofon / wideofon","wielka płyta"
"Taras 45m2 | 3 min do przystanku | Cisza | Gotówka",850000,19495,2,43.6,"Natolin","Ursynów",NA,"do zamieszkania","7/7","balkon, taras","980 zł",NA,NA,"wtórny","biuro nieruchomości",2000,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","meble"
"Dwa pokoje z 2023 przy Factory Ursus, wykończone!",749000,18048,2,41.5,"Czechowice","Ursus","pełna własność","do zamieszkania","2/7","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"apartamentowiec",NA,"nie","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, meble, piekarnik, kuchenka"
"Wyjątkowe 5 pokoi z 2 dużymi tarasami",2490000,24653,5,101,"Czyste","Wola","pełna własność","do wykończenia","5/5","balkon, taras","1 600 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","klimatyzacja, pom. użytkowe"
"Ostatnie piętro - 2 tarasy + 2 m. garażowe",2490000,24653,5,101,"Czyste","Wola","pełna własność","do wykończenia","5/5","balkon, taras","1 600 zł","garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","klimatyzacja, pom. użytkowe"
"Unikatowe, w wyremontowanej kamienicy",1500000,34091,2,44,"Śródmieście Południowe","Śródmieście","pełna własność","do zamieszkania","4/5","balkon","800 zł",NA,"miejskie","wtórny","biuro nieruchomości",1930,"kamienica",NA,"tak",NA,"cegła"
"Cztery pokoje z oddzielną widną kuchnią",890000,11589,4,76.8,"Bemowo-Lotnisko","Bemowo",NA,NA,"3/4","balkon","760 zł",NA,NA,"wtórny","biuro nieruchomości",1985,"blok",NA,"nie",NA,"piwnica, oddzielna kuchnia"
"Nowość! przytulne, zadbane, 3 pokoje, Białołęka",765000,12750,3,60,"Henryków","Białołęka","pełna własność","do zamieszkania","1/3","balkon","700 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2014,"blok",NA,"tak","monitoring / ochrona","cegła"
"2 pokojowe/ Warszawa Śródmieście/ul. Zajęcza",1355000,23987,2,56.49,"Powiśle","Śródmieście","pełna własność","do zamieszkania","4/4","balkon","800 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1930,"kamienica",NA,"nie",NA,"cegła"
"Przestronne, słoneczne 3-pokojowe (83 m) na Pradze",1187000,14301,3,83,"Nowa Praga","Praga-Północ","pełna własność","do zamieszkania","4/5","balkon","707 zł","garaż/miejsce parkingowe",NA,"wtórny","prywatny",2008,"kamienica",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","keramzyt"
"3-pokojowe mieszkanie z antresolą",812000,14000,3,58,"Grochów","Praga-Południe",NA,"do zamieszkania","3/3",NA,NA,NA,"gazowe","wtórny","biuro nieruchomości",1959,NA,NA,"nie","domofon / wideofon","inny"
"Kawalerka w prestiżowej i kameralnej inwestycji",627000,19527,1,32.11,"Błonia Wilanowskie","Wilanów","pełna własność","do wykończenia","1/3","balkon","500 zł","garaż/miejsce parkingowe","miejskie",NA,"prywatny",2023,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","internet"
"Kawalerka/35m2/Duży Balkon/Dużo Zieleni",660000,18857,1,35,"Fort Bema","Bemowo","pełna własność","do zamieszkania","3/5","balkon","598 zł",NA,"miejskie","wtórny","biuro nieruchomości",2009,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Mieszkanie na sprzedaż, Warszawa, Wawer, Falenica",499999,13928,2,35.9,"Międzylesie","Wawer",NA,NA,"2/2",NA,"216 zł",NA,"gazowe","wtórny","biuro nieruchomości",1936,"kamienica",NA,"nie",NA,"cegła"
"Dwa pokoje z ogródkiem w spokojnej okolicy",7e+05,15217,2,46,"Stara Miłosna","Wesoła","pełna własność",NA,"parter/2",NA,"500 zł",NA,NA,"wtórny","biuro nieruchomości",2013,"apartamentowiec",NA,"tak",NA,"meble"
"Nowe gładzie na ścianach i suficie, balkon, Metro",820000,10250,4,80,"Górce","Bemowo","spółdzielcze wł. prawo do lokalu",NA,"1/4","balkon",NA,NA,"miejskie","wtórny","biuro nieruchomości",NA,"blok",NA,"nie",NA,"piwnica"
"Komfortowy Apartament",2777500,24545,5,113.16,"Czyste","Wola","pełna własność","do wykończenia","5/8","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon","inny"
"Komfortowy Apartament",2234500,17163,4,130.19,"Kabaty","Ursynów","pełna własność","do wykończenia","3/4","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",NA,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon","inny"
"Mieszkanie na sprzedaż, Warszawa Wawer Miedzeszyn",699990,12500,2,56,"Międzylesie","Wawer",NA,NA,"2/2",NA,"336 zł",NA,"gazowe","wtórny","biuro nieruchomości",1936,"kamienica",NA,"nie",NA,"cegła"
"Luksusowe 3 pokoje, Os. Hubertus, od zaraz!",1350000,20219,3,66.77,"Służewiec","Mokotów","pełna własność","do zamieszkania","4/6","balkon","690 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2013,"apartamentowiec",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","żelbet"
"Mieszkanie 91m2 Warszawa Praga Południe bezpośr.",1930000,21209,3,91,"Gocławek","Praga-Południe","pełna własność","do zamieszkania","1/3","balkon","920 zł","garaż/miejsce parkingowe",NA,"wtórny","prywatny",2017,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon","inny"
"Port Praski ekskluzywny apartament 92m2 Wlasciciel",2500000,27174,4,92,"Stara Praga","Praga-Północ","pełna własność","do zamieszkania","1/5","balkon, taras",NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2018,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Górny Mokotów 2 pokoje",680000,19429,2,35,"Stary Mokotów","Mokotów","pełna własność","do zamieszkania","6/6","balkon",NA,NA,"miejskie","wtórny","prywatny",1960,"blok",NA,"tak",NA,"cegła"
"Mieszkanie 2 pokojowe o pow. 38,5m2 Ochota",598000,15532,2,38.5,"Rakowiec","Ochota",NA,"do zamieszkania","3/4","balkon","490 zł",NA,NA,"wtórny","biuro nieruchomości",NA,NA,NA,"nie",NA,"piwnica"
"Bemowo/3 Pokoje/59,5m2/2 Ogródki",925000,15546,3,59.5,"Fort Radiowo","Bemowo","pełna własność","do zamieszkania","parter/6","ogródek","830 zł",NA,"miejskie","wtórny","biuro nieruchomości",2014,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Dwupokojowe mieszkanie na sprzedaż",630000,18529,2,34,"Wyględów","Mokotów","pełna własność","do remontu","4/10",NA,"500 zł",NA,"miejskie","wtórny","biuro nieruchomości",1975,"blok",NA,"tak",NA,"oddzielna kuchnia"
"Duży Balkon| Ciche| Świetna Komunikacja",889000,18887,2,47.07,"Grochów","Praga-Południe","pełna własność","do zamieszkania","7/17","balkon","710 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2018,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka"
"2 mieszkania w 1! 3 pokoje i kawalerka Unikat",1279000,14855,4,86.1,"Sadyba","Mokotów","pełna własność","do zamieszkania","3/4","balkon","1 200 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1994,"blok",NA,"nie","monitoring / ochrona, domofon / wideofon","cegła"
"Kawalerka przy Łazienek Królewskich, metro.",599000,18956,1,31.6,"Ujazdów","Śródmieście","pełna własność","do zamieszkania","5/5",NA,"622 zł",NA,"miejskie","wtórny","biuro nieruchomości",1958,"kamienica",NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Młociny, 1 pok. 42 m , winda, garaż",635000,15119,1,42,"Huta","Bielany","pełna własność","do remontu","3/4","balkon","600 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2005,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","oddzielna kuchnia"
"Penthouse z tarasem Wilanów",2900000,31183,3,93,"Błonia Wilanowskie","Wilanów",NA,"do zamieszkania","4/4","balkon, taras","1 700 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2018,"apartamentowiec",NA,"tak","system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona","klimatyzacja"
